Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2020-01-02,IRCTC,944.0,944.0,927.05,930.4,0.0,-1.796,-1.441,1.796,0.0,0.0,2,1,2020
2020-01-03,IRCTC,928.0,943.5,927.55,931.4,1.67,-0.048,0.366,1.67,0.048,0.048,3,1,2020
2020-01-06,IRCTC,927.0,927.05,890.1,894.45,0.005,-3.981,-3.511,3.981,0.005,0.005,6,1,2020
2020-01-07,IRCTC,897.0,921.5,897.0,907.4,2.731,0.0,1.159,2.731,0.0,0.0,7,1,2020
2020-01-08,IRCTC,899.0,902.6,886.3,896.15,0.4,-1.413,-0.317,1.413,0.4,0.4,8,1,2020
2020-01-09,IRCTC,910.35,920.6,910.0,913.65,1.126,-0.038,0.362,1.126,0.038,0.038,9,1,2020
2020-01-10,IRCTC,912.0,927.4,908.65,917.25,1.689,-0.367,0.576,1.689,0.367,0.367,10,1,2020
2020-01-13,IRCTC,920.0,942.8,916.05,939.15,2.478,-0.429,2.082,2.478,0.429,0.429,13,1,2020
2020-01-14,IRCTC,945.0,983.7,942.05,974.15,4.095,-0.312,3.085,4.095,0.312,0.312,14,1,2020
2020-01-15,IRCTC,978.0,996.0,973.85,985.4,1.84,-0.424,0.757,1.84,0.424,0.424,15,1,2020
2020-01-16,IRCTC,984.8,1008.35,984.75,1003.65,2.391,-0.005,1.914,2.391,0.005,0.005,16,1,2020
2020-01-17,IRCTC,1010.0,1025.0,1010.0,1021.85,1.485,0.0,1.173,1.485,0.0,0.0,17,1,2020
2020-01-20,IRCTC,1027.2,1028.2,988.05,993.35,0.097,-3.811,-3.295,3.811,0.097,0.097,20,1,2020
2020-01-21,IRCTC,992.4,994.4,978.0,982.75,0.202,-1.451,-0.972,1.451,0.202,0.202,21,1,2020
2020-01-22,IRCTC,990.0,1006.0,987.0,996.85,1.616,-0.303,0.692,1.616,0.303,0.303,22,1,2020
2020-01-23,IRCTC,998.6,1000.75,989.0,995.5,0.215,-0.961,-0.31,0.961,0.215,0.215,23,1,2020
2020-01-24,IRCTC,1000.0,1012.6,992.1,1002.7,1.26,-0.79,0.27,1.26,0.79,0.79,24,1,2020
2020-01-27,IRCTC,1001.9,1017.45,995.0,1007.6,1.552,-0.689,0.569,1.552,0.689,0.689,27,1,2020
2020-01-28,IRCTC,1013.6,1059.9,1010.15,1048.7,4.568,-0.34,3.463,4.568,0.34,0.34,28,1,2020
2020-01-29,IRCTC,1072.5,1129.9,1063.5,1116.4,5.352,-0.839,4.093,5.352,0.839,0.839,29,1,2020
2020-01-30,IRCTC,1132.8,1164.0,1116.05,1137.15,2.754,-1.479,0.384,2.754,1.479,1.479,30,1,2020
2020-01-31,IRCTC,1152.1,1235.0,1146.05,1210.3,7.196,-0.525,5.052,7.196,0.525,0.525,31,1,2020
2020-02-01,IRCTC,1241.0,1333.0,1168.2,1190.35,7.413,-5.866,-4.081,7.413,5.866,5.866,1,2,2020
2020-02-03,IRCTC,1194.35,1263.0,1186.05,1250.85,5.748,-0.695,4.731,5.748,0.695,0.695,3,2,2020
2020-02-04,IRCTC,1290.0,1438.0,1286.0,1412.65,11.473,-0.31,9.508,11.473,0.31,0.31,4,2,2020
2020-02-05,IRCTC,1457.0,1547.8,1441.0,1508.55,6.232,-1.098,3.538,6.232,1.098,1.098,5,2,2020
2020-02-06,IRCTC,1532.0,1563.0,1472.0,1504.3,2.023,-3.916,-1.808,3.916,2.023,2.023,6,2,2020
2020-02-07,IRCTC,1500.0,1528.0,1482.0,1513.5,1.867,-1.2,0.9,1.867,1.2,1.2,7,2,2020
2020-02-10,IRCTC,1523.9,1538.0,1466.0,1480.2,0.925,-3.799,-2.868,3.799,0.925,0.925,10,2,2020
2020-02-11,IRCTC,1495.2,1505.0,1378.6,1408.0,0.655,-7.798,-5.832,7.798,0.655,0.655,11,2,2020
2020-02-12,IRCTC,1395.0,1450.0,1350.0,1415.25,3.943,-3.226,1.452,3.943,3.226,3.226,12,2,2020
2020-02-13,IRCTC,1583.5,1609.8,1515.35,1580.35,1.661,-4.304,-0.199,4.304,1.661,1.661,13,2,2020
2020-02-14,IRCTC,1599.0,1603.9,1548.6,1557.4,0.306,-3.152,-2.602,3.152,0.306,0.306,14,2,2020
2020-02-17,IRCTC,1564.9,1565.0,1510.0,1518.65,0.006,-3.508,-2.955,3.508,0.006,0.006,17,2,2020
2020-02-18,IRCTC,1515.0,1648.0,1485.0,1638.6,8.779,-1.98,8.158,8.779,1.98,1.98,18,2,2020
2020-02-19,IRCTC,1666.3,1872.7,1658.4,1831.9,12.387,-0.474,9.938,12.387,0.474,0.474,19,2,2020
2020-02-19,IRCTC,1666.3,1872.7,1658.4,1831.9,12.387,-0.474,9.938,12.387,0.474,0.474,19,2,2020
2020-02-19,IRCTC,1666.3,1872.7,1658.4,1831.9,12.387,-0.474,9.938,12.387,0.474,0.474,19,2,2020
2020-02-19,IRCTC,1666.3,1872.7,1658.4,1831.9,12.387,-0.474,9.938,12.387,0.474,0.474,19,2,2020
2020-02-19,IRCTC,1666.3,1872.7,1658.4,1831.9,12.387,-0.474,9.938,12.387,0.474,0.474,19,2,2020
2020-02-20,IRCTC,1870.0,1977.0,1862.05,1930.05,5.722,-0.425,3.211,5.722,0.425,0.425,20,2,2020
2020-02-24,IRCTC,1900.0,1989.9,1812.0,1923.5,4.732,-4.632,1.237,4.732,4.632,4.632,24,2,2020
2020-02-25,IRCTC,1923.3,1994.0,1917.0,1951.95,3.676,-0.328,1.49,3.676,0.328,0.328,25,2,2020
2020-02-26,IRCTC,1959.0,1983.7,1940.0,1951.65,1.261,-0.97,-0.375,1.261,0.97,0.97,26,2,2020
2020-02-27,IRCTC,1967.0,1970.0,1888.8,1909.4,0.153,-3.976,-2.928,3.976,0.153,0.153,27,2,2020
2020-02-28,IRCTC,1842.0,1865.9,1731.3,1743.8,1.298,-6.01,-5.331,6.01,1.298,1.298,28,2,2020
2020-03-02,IRCTC,1810.0,1873.7,1636.45,1723.25,3.519,-9.588,-4.793,9.588,3.519,3.519,2,3,2020
2020-03-03,IRCTC,1770.0,1809.0,1686.55,1739.3,2.203,-4.715,-1.734,4.715,2.203,2.203,3,3,2020
2020-03-03,IRCTC,1770.0,1809.0,1686.55,1739.3,2.203,-4.715,-1.734,4.715,2.203,2.203,3,3,2020
2020-03-03,IRCTC,1770.0,1809.0,1686.55,1739.3,2.203,-4.715,-1.734,4.715,2.203,2.203,3,3,2020
2020-03-03,IRCTC,1770.0,1809.0,1686.55,1739.3,2.203,-4.715,-1.734,4.715,2.203,2.203,3,3,2020
2020-03-04,IRCTC,1752.0,1765.0,1565.4,1565.4,0.742,-10.651,-10.651,10.651,0.742,0.742,4,3,2020
2020-03-04,IRCTC,1752.0,1765.0,1565.4,1565.4,0.742,-10.651,-10.651,10.651,0.742,0.742,4,3,2020
