Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2023-04-17,IRCTC,592.65,597.6,584.15,596.65,0.835,-1.434,0.675,1.434,0.835,0.835,17,4,2023,0.16,15.4,-0.32,-0.082000000000016,0.9958421368446108
2023-04-18,IRCTC,597.95,604.9,596.2,603.55,1.162,-0.293,0.937,1.162,0.293,0.293,18,4,2023,0.16,15.4,-0.32,-0.402000000000016,0.9926554420067081
2023-04-19,IRCTC,606.9,613.85,600.5,606.7,1.145,-1.055,-0.033,1.145,1.055,1.055,19,4,2023,0.16,15.4,-0.32,-0.722000000000016,0.9894789445922866
2023-04-20,IRCTC,606.85,609.9,599.0,601.75,0.503,-1.294,-0.84,1.294,0.503,0.503,20,4,2023,0.16,15.4,-0.32,-1.042000000000016,0.9863126119695913
2023-04-21,IRCTC,602.0,603.85,594.7,603.0,0.307,-1.213,0.166,1.213,0.307,0.307,21,4,2023,0.16,15.4,-0.32,-1.362000000000016,0.9831564116112886
2023-04-24,IRCTC,603.0,607.5,597.3,603.4,0.746,-0.945,0.066,0.945,0.746,0.746,24,4,2023,0.16,15.4,-0.32,-1.6820000000000161,0.9800103110941325
2023-04-25,IRCTC,603.95,611.0,600.0,607.9,1.167,-0.654,0.654,1.167,0.654,0.654,25,4,2023,0.16,15.4,-0.32,-2.002000000000016,0.9768742780986313
2023-04-26,IRCTC,606.0,613.0,604.55,608.2,1.155,-0.239,0.363,1.155,0.239,0.239,26,4,2023,0.16,15.4,-0.32,-2.322000000000016,0.9737482804087156
2023-04-27,IRCTC,608.2,610.15,605.0,606.1,0.321,-0.526,-0.345,0.526,0.321,0.321,27,4,2023,0.16,15.4,-0.32,-2.642000000000016,0.9706322859114078
2023-04-28,IRCTC,610.1,619.65,608.4,617.8,1.565,-0.279,1.262,1.565,0.279,0.279,28,4,2023,0.16,15.4,-0.32,-2.9620000000000157,0.9675262625964913
2023-05-02,IRCTC,620.0,631.0,618.2,626.95,1.774,-0.29,1.121,1.774,0.29,0.29,2,5,2023,0.16,15.4,-0.32,-3.2820000000000156,0.9644301785561826
2023-05-03,IRCTC,626.45,632.8,622.6,627.7,1.014,-0.615,0.2,1.014,0.615,0.615,3,5,2023,0.16,15.4,-0.32,-3.6020000000000154,0.9613440019848029
2023-05-04,IRCTC,627.7,635.55,627.55,631.6,1.251,-0.024,0.621,1.251,0.024,0.024,4,5,2023,0.16,15.4,0.46099999999999997,-3.1410000000000156,0.9657757978339528
2023-05-05,IRCTC,630.75,633.7,624.0,625.4,0.468,-1.07,-0.848,1.07,0.468,0.468,5,5,2023,0.16,15.4,-0.32,-3.4610000000000154,0.9626853152808842
2023-05-08,IRCTC,628.0,630.6,625.4,628.1,0.414,-0.414,0.016,0.414,0.414,0.414,8,5,2023,0.16,15.4,-0.32,-3.7810000000000152,0.9596047222719853
2023-05-09,IRCTC,628.1,633.4,620.0,622.6,0.844,-1.29,-0.876,1.29,0.844,0.844,9,5,2023,0.16,15.4,-0.32,-4.101000000000015,0.956533987160715
2023-05-10,IRCTC,623.0,625.75,618.0,624.3,0.441,-0.803,0.209,0.803,0.441,0.441,10,5,2023,0.16,15.4,-0.32,-4.421000000000015,0.9534730784018007
2023-05-11,IRCTC,625.05,627.65,624.3,626.6,0.416,-0.12,0.248,0.416,0.12,0.12,11,5,2023,0.16,15.4,0.088,-4.333000000000015,0.9543121347107943
2023-05-12,IRCTC,626.6,637.2,625.05,628.45,1.692,-0.247,0.295,1.692,0.247,0.247,12,5,2023,0.16,15.4,-0.32,-4.653000000000016,0.9512583358797199
2023-05-15,IRCTC,625.0,635.6,625.0,632.35,1.696,0.0,1.176,1.696,0.0,0.0,15,5,2023,0.16,15.4,1.016,-3.6370000000000156,0.9609231205722578
2023-05-16,IRCTC,632.05,636.7,624.3,626.15,0.736,-1.226,-0.933,1.226,0.736,0.736,16,5,2023,0.16,15.4,-0.32,-3.9570000000000154,0.9578481665864266
2023-05-17,IRCTC,626.15,629.0,618.0,622.75,0.455,-1.302,-0.543,1.302,0.455,0.455,17,5,2023,0.16,15.4,-0.32,-4.277000000000015,0.95478305245335
2023-05-18,IRCTC,625.0,627.8,613.0,614.85,0.448,-1.92,-1.624,1.92,0.448,0.448,18,5,2023,0.16,15.4,-0.32,-4.5970000000000155,0.9517277466854993
2023-05-19,IRCTC,614.85,617.0,604.1,610.35,0.35,-1.748,-0.732,1.748,0.35,0.35,19,5,2023,0.16,15.4,-0.32,-4.917000000000016,0.9486822178961057
2023-05-22,IRCTC,610.35,624.9,607.1,623.5,2.384,-0.532,2.155,2.384,0.532,0.532,22,5,2023,0.16,15.4,-0.32,-5.237000000000016,0.9456464347988383
2023-05-23,IRCTC,628.4,636.3,622.0,624.35,1.257,-1.018,-0.644,1.257,1.018,1.018,23,5,2023,0.16,15.4,-0.32,-5.557000000000016,0.942620366207482
2023-05-24,IRCTC,624.0,626.85,618.0,618.9,0.457,-0.962,-0.817,0.962,0.457,0.457,24,5,2023,0.16,15.4,-0.32,-5.877000000000017,0.939603981035618
2023-05-25,IRCTC,619.5,621.5,616.0,618.55,0.323,-0.565,-0.153,0.565,0.323,0.323,25,5,2023,0.16,15.4,-0.32,-6.197000000000017,0.9365972482963041
2023-05-26,IRCTC,621.8,625.7,619.3,624.35,0.627,-0.402,0.41,0.627,0.402,0.402,26,5,2023,0.16,15.4,-0.32,-6.517000000000017,0.9336001371017559
2023-05-29,IRCTC,630.0,647.0,626.25,645.75,2.698,-0.595,2.5,2.698,0.595,0.595,29,5,2023,0.16,15.4,-0.32,-6.8370000000000175,0.9306126166630303
2023-05-30,IRCTC,637.0,653.7,627.3,643.75,2.622,-1.523,1.06,2.622,1.523,1.523,30,5,2023,0.16,15.4,-0.32,-7.157000000000018,0.9276346562897086
2023-05-31,IRCTC,643.0,650.2,640.0,649.5,1.12,-0.467,1.011,1.12,0.467,0.467,31,5,2023,0.16,15.4,-0.32,-7.477000000000018,0.9246662253895817
2023-06-01,IRCTC,650.1,659.1,647.45,649.5,1.384,-0.408,-0.092,1.384,0.408,0.408,1,6,2023,0.16,15.4,-0.32,-7.797000000000018,0.921707293468335
2023-06-02,IRCTC,653.4,654.75,643.55,645.45,0.207,-1.507,-1.217,1.507,0.207,0.207,2,6,2023,0.16,15.4,-0.32,-8.117000000000019,0.9187578301292364
