Unnamed: 0.1,Unnamed: 0,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
18,18,SUZLON,7,2015,22.45,24.0,20.6,21.9,6.904,-8.241,-2.45,8.241,6.904,6.904,0.01,26.3,-0.02,30.58300000000003,1.1483265000207687
19,19,SUZLON,8,2015,23.4,28.0,19.8,22.1,19.658,-15.385,-5.556,19.658,15.385,15.385,0.01,26.3,-0.02,22.56300000000003,1.056230714719103
20,20,SUZLON,9,2015,21.8,22.45,19.1,20.85,2.982,-12.385,-4.358,12.385,2.982,2.982,0.01,26.3,-0.02,22.91100000000003,1.0599063976063254
21,21,SUZLON,10,2015,21.25,25.15,20.95,24.6,18.353,-1.412,15.765,18.353,1.412,1.412,0.01,26.3,-0.02,34.66600000000003,1.184498394644949
22,22,SUZLON,11,2015,24.0,25.25,20.4,21.7,5.208,-15.0,-9.583,15.0,5.208,5.208,0.01,26.3,-0.02,26.64600000000004,1.089501623394424
23,23,SUZLON,12,2015,22.0,23.1,20.4,20.85,5.0,-7.273,-5.227,7.273,5.0,5.0,0.01,26.3,-0.02,18.62600000000004,1.002123593198191
24,24,SUZLON,1,2016,20.9,23.25,18.0,20.3,11.244,-13.876,-2.871,13.876,11.244,11.244,0.01,26.3,-0.02,10.606000000000034,0.9217532810236964
25,25,SUZLON,2,2016,20.5,20.7,12.8,13.5,0.976,-37.561,-34.146,37.561,0.976,0.976,0.01,26.3,-0.02,36.49600000000004,1.1603952054807314
26,26,SUZLON,3,2016,13.65,15.3,12.8,14.2,12.088,-6.227,4.029,12.088,6.227,6.227,0.01,26.3,-0.02,28.47600000000004,1.0673315100011769
27,27,SUZLON,4,2016,14.1,15.85,13.55,14.95,12.411,-3.901,6.028,12.411,3.901,3.901,0.01,26.3,-0.02,30.49400000000004,1.0888702598730005
28,28,SUZLON,5,2016,14.9,16.9,14.0,15.9,13.423,-6.04,6.711,13.423,6.04,6.04,0.01,26.3,-0.02,22.47400000000004,1.0015428650311855
29,29,SUZLON,6,2016,15.95,18.45,14.9,17.4,15.674,-6.583,9.091,15.674,6.583,6.583,0.01,26.3,-0.02,14.45400000000004,0.9212191272556846
30,30,SUZLON,7,2016,17.45,19.1,17.0,17.45,9.456,-2.579,0.0,9.456,2.579,2.579,0.01,26.3,-0.02,10.44400000000004,0.8842782402527316
31,31,SUZLON,8,2016,17.6,17.65,15.7,15.8,0.284,-10.795,-10.227,10.795,0.284,0.284,0.01,26.3,-0.02,16.66100000000004,0.939253818449244
32,32,SUZLON,9,2016,15.75,18.35,14.1,14.85,16.508,-10.476,-5.714,16.508,10.476,10.476,0.01,26.3,-0.02,8.64100000000004,0.8639256622096145
33,33,SUZLON,10,2016,15.0,15.55,14.25,15.4,3.667,-5.0,2.667,5.0,3.667,3.667,0.01,26.3,-0.02,7.298000000000041,0.8523231405661393
34,34,SUZLON,11,2016,15.55,16.0,12.0,14.8,2.894,-22.83,-4.823,22.83,2.894,2.894,0.01,26.3,-0.02,8.111000000000042,0.859252527698942
35,35,SUZLON,12,2016,14.85,15.15,13.6,13.8,2.02,-8.418,-7.071,8.418,2.02,2.02,0.01,26.3,-0.02,11.17200000000004,0.8855542475718067
36,36,SUZLON,1,2017,13.8,18.0,13.8,17.1,30.435,0.0,23.913,30.435,0.0,0.0,0.01,26.3,26.29,37.06200000000004,1.1148242422681476
37,37,SUZLON,2,2017,17.15,19.15,15.7,18.1,11.662,-8.455,5.539,11.662,8.455,8.455,0.01,26.3,-0.02,29.04200000000004,1.025415338038242
38,38,SUZLON,3,2017,18.25,19.85,16.95,19.1,8.767,-7.123,4.658,8.767,7.123,7.123,0.01,26.3,-0.02,21.02200000000004,0.943177027927575
39,39,SUZLON,4,2017,19.1,21.4,18.7,20.6,12.042,-2.094,7.853,12.042,2.094,2.094,0.01,26.3,-0.02,24.86500000000004,0.9794233211108316
40,40,SUZLON,5,2017,20.75,22.25,18.45,19.3,7.229,-11.084,-6.988,11.084,7.229,7.229,0.01,26.3,-0.02,16.84500000000004,0.9008735707577428
41,41,SUZLON,6,2017,19.3,20.2,17.45,18.75,4.663,-9.585,-2.85,9.585,4.663,4.663,0.01,26.3,-0.02,8.825000000000042,0.8286235103829719
42,42,SUZLON,7,2017,18.85,20.25,18.2,18.95,7.427,-3.448,0.531,7.427,3.448,3.448,0.01,26.3,-0.02,5.346000000000042,0.7997956984567482
43,43,SUZLON,8,2017,19.05,19.1,14.45,16.3,0.262,-24.147,-14.436,24.147,0.262,0.262,0.01,26.3,-0.02,15.77200000000004,0.8831823979778488
44,44,SUZLON,9,2017,16.4,17.5,15.25,15.6,6.707,-7.012,-4.878,7.012,6.707,6.707,0.01,26.3,-0.02,7.7520000000000415,0.8123511696600253
45,45,SUZLON,10,2017,15.8,17.1,14.75,16.95,8.228,-6.646,7.278,8.228,6.646,6.646,0.01,26.3,-0.02,-0.267999999999958,0.7472006058532912
46,46,SUZLON,11,2017,17.0,17.3,12.8,13.95,1.765,-24.706,-17.941,24.706,1.765,1.765,0.01,26.3,-0.02,13.66300000000004,0.8512931222547132
47,47,SUZLON,12,2017,14.2,15.7,13.0,15.55,10.563,-8.451,9.507,10.563,8.451,8.451,0.01,26.3,-0.02,5.6430000000000415,0.7830194138498852
48,48,SUZLON,1,2018,15.55,17.1,14.45,14.6,9.968,-7.074,-6.109,9.968,7.074,7.074,0.01,26.3,-0.02,-2.376999999999958,0.7202212568591243
49,49,SUZLON,2,2018,14.8,15.1,12.05,12.8,2.027,-18.581,-13.514,18.581,2.027,2.027,0.01,26.3,-0.02,7.1270000000000415,0.7886710851110155
50,50,SUZLON,3,2018,12.85,13.0,10.6,10.7,1.167,-17.51,-16.732,17.51,1.167,1.167,0.01,26.3,-0.02,19.84900000000004,0.8890058205588388
51,51,SUZLON,4,2018,10.85,12.4,10.6,10.9,14.286,-2.304,0.461,14.286,2.304,2.304,0.01,26.3,-0.02,16.30000000000004,0.8574550039872056
52,52,SUZLON,5,2018,10.85,10.95,8.5,8.75,0.922,-21.659,-19.355,21.659,0.922,0.922,0.01,26.3,-0.02,31.64500000000004,0.9890314743490424
53,53,SUZLON,6,2018,8.75,8.95,7.25,7.5,2.286,-17.143,-14.286,17.143,2.286,2.286,0.01,26.3,-0.02,41.92100000000004,1.09066434865315
54,54,SUZLON,7,2018,7.55,8.65,6.85,7.8,14.57,-9.272,3.311,14.57,9.272,9.272,0.01,26.3,-0.02,33.90100000000004,1.0031930678911674
55,55,SUZLON,8,2018,7.85,8.15,6.95,7.15,3.822,-11.465,-8.917,11.465,3.822,3.822,0.01,26.3,-0.02,38.80800000000004,1.0524197517325868
56,56,SUZLON,9,2018,7.2,8.05,5.3,5.45,11.806,-26.389,-24.306,26.389,11.806,11.806,0.01,26.3,-0.02,30.78800000000004,0.9680156876436332
57,57,SUZLON,10,2018,5.5,6.65,5.05,6.25,20.909,-8.182,13.636,20.909,8.182,8.182,0.01,26.3,-0.02,22.76800000000004,0.8903808294946138
