Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2023-10-31,ADANIENT,2320.0,2320.0,2276.0,2294.65,0.0,-1.897,-1.093,1.897,0.0,0.0,31,10,2023,0.17,3.5,0.9229999999999999,6.173000000000001,1.0624584683918683
2023-11-01,ADANIENT,2299.0,2312.25,2207.0,2217.3,0.576,-4.002,-3.554,4.002,0.576,0.576,1,11,2023,0.62,3.6,2.98,2.98,1.0298
2023-11-02,ADANIENT,2247.0,2297.95,2204.2,2215.3,2.267,-1.905,-1.411,2.267,1.905,1.905,2,11,2023,0.62,3.6,-1.24,1.74,1.01703048
2023-11-03,ADANIENT,2215.3,2279.0,2215.0,2229.85,2.875,-0.014,0.657,2.875,0.014,0.014,3,11,2023,0.62,3.6,0.03700000000000003,1.7770000000000001,1.0174067812776
2023-11-06,ADANIENT,2253.95,2260.0,2233.0,2246.0,0.268,-0.929,-0.353,0.929,0.268,0.268,6,11,2023,0.62,3.6,-0.267,1.5100000000000002,1.0146903051715888
2023-11-07,ADANIENT,2257.0,2260.0,2226.65,2233.35,0.133,-1.345,-1.048,1.345,0.133,0.133,7,11,2023,0.62,3.6,0.42800000000000005,1.9380000000000002,1.0190331796777232
2023-11-08,ADANIENT,2245.3,2298.0,2235.0,2259.95,2.347,-0.459,0.652,2.347,0.459,0.459,8,11,2023,0.62,3.6,0.03200000000000003,1.9700000000000002,1.01935927029522
2023-11-09,ADANIENT,2269.0,2272.6,2210.1,2214.65,0.159,-2.596,-2.395,2.596,0.159,0.159,9,11,2023,0.62,3.6,1.775,3.745,1.0374528973429602
2023-11-10,ADANIENT,2220.25,2237.0,2198.5,2205.1,0.754,-0.98,-0.682,0.98,0.754,0.754,10,11,2023,0.62,3.6,-1.24,2.505,1.0245884814159076
2023-11-12,ADANIENT,2219.7,2226.0,2205.1,2211.35,0.284,-0.658,-0.376,0.658,0.284,0.284,12,11,2023,0.62,3.6,-0.244,2.261,1.0220884855212529
2023-11-13,ADANIENT,2215.5,2241.9,2195.55,2213.65,1.192,-0.9,-0.084,1.192,0.9,0.9,13,11,2023,0.62,3.6,-1.24,1.0210000000000001,1.0094145883007895
2023-11-15,ADANIENT,2240.0,2250.0,2220.5,2225.4,0.446,-0.871,-0.652,0.871,0.446,0.446,15,11,2023,0.62,3.6,0.03200000000000003,1.0530000000000002,1.0097376009690457
2023-11-16,ADANIENT,2226.0,2232.8,2196.1,2205.9,0.305,-1.343,-0.903,1.343,0.305,0.305,16,11,2023,0.62,3.6,0.28300000000000003,1.3360000000000003,1.0125951583797883
