,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
622,2023-01-12,NTPC,1180.0,1180.0,1180.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2023,0.01,29.9,-0.01,409.35700000000264,49.5240065825732
623,2023-01-12,NTPC,13.54,13.55,13.52,13.53,0.074,-0.148,-0.074,0.148,0.074,0.074,12,1,2023,0.01,29.9,-0.02,409.33700000000266,49.514101781256684
624,2023-01-12,NTPC,1045.51,1045.51,1045.41,1045.47,0.0,-0.01,-0.004,0.01,0.0,0.0,12,1,2023,0.01,29.9,-0.006,409.3310000000027,49.511130935149815
625,2023-01-12,NTPC,1205.11,1207.0,1205.11,1207.0,0.157,0.0,0.157,0.157,0.0,0.0,12,1,2023,0.01,29.9,0.147,409.4780000000027,49.58391229762449
626,2023-01-13,NTPC,166.2,168.15,165.5,167.8,1.173,-0.421,0.963,1.173,0.421,0.421,13,1,2023,0.01,29.9,-0.02,409.4580000000027,49.57399551516496
627,2023-01-13,NTPC,1030.0,1039.39,1030.0,1039.39,0.912,0.0,0.912,0.912,0.0,0.0,13,1,2023,0.01,29.9,0.902,410.3600000000027,50.02115295471175
628,2023-01-13,NTPC,1180.0,1180.51,1180.0,1180.5,0.043,0.0,0.042,0.043,0.0,0.0,13,1,2023,0.01,29.9,0.032,410.39200000000267,50.03715972365727
629,2023-01-13,NTPC,1330.0,1330.0,1330.0,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,2023,0.01,29.9,-0.01,410.3820000000027,50.032156007684904
630,2023-01-13,NTPC,13.53,13.59,13.53,13.58,0.443,0.0,0.37,0.443,0.0,0.0,13,1,2023,0.01,29.9,0.36,410.7420000000027,50.21227176931257
631,2023-01-13,NTPC,1500.0,1710.0,1500.0,1500.0,14.0,0.0,0.0,14.0,0.0,0.0,13,1,2023,0.01,29.9,-0.01,410.7320000000027,50.20725054213564
632,2023-01-16,NTPC,168.65,168.65,164.65,165.95,0.0,-2.372,-1.601,2.372,0.0,0.0,16,1,2023,0.01,29.9,1.591,412.3230000000027,51.00604789826102
633,2023-01-16,NTPC,1163.0,1163.0,1163.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2023,0.01,29.9,-0.01,412.3130000000027,51.0009472934712
634,2023-01-16,NTPC,1182.0,1182.0,1182.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2023,0.01,29.9,-0.01,412.3030000000027,50.995847198741856
635,2023-01-16,NTPC,1310.0,1310.0,1310.0,1310.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2023,0.01,29.9,-0.01,412.29300000000273,50.990747614021984
636,2023-01-16,NTPC,13.47,13.58,13.21,13.55,0.817,-1.93,0.594,1.93,0.817,0.817,16,1,2023,0.01,29.9,-0.02,412.27300000000275,50.980549464499184
637,2023-01-16,NTPC,1207.0,1207.0,1207.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,2023,0.01,29.9,-0.01,412.26300000000276,50.97545140955273
638,2023-01-17,NTPC,166.6,168.2,165.8,167.7,0.96,-0.48,0.66,0.96,0.48,0.48,17,1,2023,0.01,29.9,-0.02,412.2430000000028,50.96525631927082
639,2023-01-17,NTPC,1035.0,1035.0,1034.0,1034.0,0.0,-0.097,-0.097,0.097,0.0,0.0,17,1,2023,0.01,29.9,0.087,412.33000000000277,51.00959609226858
640,2023-01-17,NTPC,13.55,13.61,13.4,13.59,0.443,-1.107,0.295,1.107,0.443,0.443,17,1,2023,0.01,29.9,-0.02,412.3100000000028,50.99939417305013
641,2023-01-17,NTPC,1035.1,1035.1,1035.1,1035.1,0.0,0.0,0.0,0.0,0.0,0.0,17,1,2023,0.01,29.9,-0.01,412.3000000000028,50.99429423363282
642,2023-01-17,NTPC,1151.0,1151.0,1151.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,2023,0.01,29.9,-0.01,412.2900000000028,50.98919480420946
643,2023-01-18,NTPC,167.5,169.7,167.1,169.45,1.313,-0.239,1.164,1.313,0.239,0.239,18,1,2023,0.01,29.9,-0.02,412.2700000000028,50.97899696524862
644,2023-01-18,NTPC,1034.0,1038.0,1034.0,1038.0,0.387,0.0,0.387,0.387,0.0,0.0,18,1,2023,0.01,29.9,0.377,412.64700000000283,51.17118778380761
645,2023-01-18,NTPC,1325.0,1325.0,1314.0,1319.99,0.0,-0.83,-0.378,0.83,0.0,0.0,18,1,2023,0.01,29.9,0.368,413.01500000000283,51.359497754852015
646,2023-01-18,NTPC,13.59,13.64,13.55,13.59,0.368,-0.294,0.0,0.368,0.294,0.294,18,1,2023,0.01,29.9,-0.02,412.99500000000285,51.34922585530104
647,2023-01-18,NTPC,1053.01,1053.01,1053.01,1053.01,0.0,0.0,0.0,0.0,0.0,0.0,18,1,2023,0.01,29.9,-0.01,412.98500000000286,51.34409093271552
648,2023-01-18,NTPC,1207.0,1215.0,1207.0,1215.0,0.663,0.0,0.663,0.663,0.0,0.0,18,1,2023,0.01,29.9,0.653,413.6380000000029,51.679367846506146
649,2023-01-19,NTPC,170.4,170.4,167.3,168.7,0.0,-1.819,-0.998,1.819,0.0,0.0,19,1,2023,0.01,29.9,0.988,414.6260000000029,52.18996000082962
650,2023-01-19,NTPC,1033.1,1033.1,1033.1,1033.1,0.0,0.0,0.0,0.0,0.0,0.0,19,1,2023,0.01,29.9,-0.01,414.6160000000029,52.18474100482954
